0.png,0.9962424,person,215,696,485,1554
1.png,0.9982839,person,112,614,277,1374
2.png,0.996798,kite,593,80,1262,232
3.png,0.99332905,person,82,508,186,1073
4.png,0.99697745,kite,279,236,581,515
5.png,0.9795345,person,37,509,90,1069
6.png,0.9307129,kite,300,376,623,782
7.png,0.41810519,person,23,517,64,1071
8.png,0.9845888,kite,577,344,1175,711
9.png,0.97378993,kite,1083,394,2182,816
10.png,0.354331,surfboard,502,523,1045,1056
11.png,0.98203963,person,177,540,366,1111
12.png,0.38603005,person,519,506,1053,1036
13.png,0.98262435,person,533,514,1084,1047
14.png,0.92118,person,24,529,61,1084
15.png,0.51892316,kite,305,376,629,767
16.png,0.97837514,kite,467,340,949,697
17.png,0.96176064,person,520,505,1050,1028
18.png,0.9725055,person,346,487,700,989
19.png,0.90264696,person,1205,451,2417,912
20.png,0.51113826,kite,762,379,1529,768
21.png,0.7530696,person,461,473,927,954
22.png,0.88483405,person,695,462,1395,931
